"일자","지점명","교과명","학생번호","학생명","tel1","tel2","tel3","유형명","순공시간","순공시간(HH:mm:ss)"
'2026-03-03',분당정자,사회탐구,394526,박시우,"010","7180","4333",자습,"2시간 49분 47초","01:48:47"
'2026-03-03',분당정자,수학,394526,박시우,"010","7180","4333",자습,"1시간 23분 9초","01:23:09"
'2026-03-03',분당정자,과학탐구,390244,박준범,"010","4349","6607",인강,"1시간 4분 59초","01:03:59"
'2026-03-03',분당정자,국어,390244,박준범,"010","4349","6607",인강,"1시간 26분 12초","01:26:12"
'2026-03-03',분당정자,수학,390244,박준범,"010","4349","6607",인강,"7시간 23분 7초","07:23:07"
'2026-03-03',분당정자,영어,390244,박준범,"010","4349","6607",인강,"1시간 57분 44초","00:56:44"
'2026-03-03',분당정자,영어,390244,박준범,"010","4349","6607",자습,"1시간 43분 45초","00:42:45"
'2026-03-03',분당정자,수학,394404,배영웅,"010","7226","3117",자습,"0시간 0분 7초","00:00:07"
'2026-03-03',분당정자,과학탐구,393930,변주원,"010","4810","0317",자습,"2시간 58분 29초","01:58:29"
'2026-03-03',분당정자,사회탐구,393930,변주원,"010","4810","0317",자습,"2시간 43분 10초","01:43:10"
'2026-03-03',분당정자,수학,393930,변주원,"010","4810","0317",자습,"2시간 55분 15초","01:55:15"
'2026-03-03',분당정자,국어,394342,서미교,"010","4313","7242",인강,"0시간 0분 17초","00:00:17"
'2026-03-03',분당정자,사회탐구,389566,서유찬,"010","4796","0878",인강,"1시간 4분 22초","01:04:22"
'2026-03-03',분당정자,사회탐구,389566,서유찬,"010","4796","0878",자습,"0시간 0분 6초","00:00:06"
'2026-03-03',분당정자,수학,389566,서유찬,"010","4796","0878",인강,"0시간 0분 5초","00:00:05"
'2026-03-03',분당정자,수학,389566,서유찬,"010","4796","0878",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',분당정자,국어,395316,손서영,"010","4072","0773",자습,"0시간 0분 13초","00:00:13"
'2026-03-03',분당정자,수학,394542,이유진,"010","8893","5592",자습,"0시간 1분 49초","00:00:49"
'2026-03-03',분당정자,수학,384702,정세은,"010","5291","4794",자습,"6시간 8분 17초","06:08:17"
'2026-03-03',분당정자,영어,384702,정세은,"010","5291","4794",자습,"4시간 26분 5초","04:26:05"
'2026-03-03',분당정자,수학,366509,정혜인,"010","8940","7142",자습,"0시간 0분 6초","00:00:06"
'2026-03-03',분당정자,영어,389569,조윤성,"010","3141","5242",자습,"0시간 1분 7초","00:01:07"
'2026-03-03',분당정자,국어,394785,조희수,"010","5605","8159",자습,"1시간 13분 34초","01:12:34"
'2026-03-03',분당정자,사회탐구,394785,조희수,"010","5605","8159",자습,"3시간 0분 23초","03:00:23"
'2026-03-03',분당정자,사회탐구,394726,주정서,"010","7412","1268",인강,"0시간 0분 7초","00:00:07"
'2026-03-03',서울강동,수학,395853,김나현,"010","9984","7522",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',서울성동,국어,395181,심태진,"010","4420","1592",자습,"1시간 43분 15초","00:43:15"
'2026-03-03',서울성동,수학,395181,심태진,"010","4420","1592",자습,"2시간 28분 43초","02:27:43"
'2026-03-03',서울성동,영어,395181,심태진,"010","4420","1592",자습,"1시간 5분 16초","01:05:16"
'2026-03-03',서울성동,과학탐구,395758,안성빈,"010","2172","6625",자습,"4시간 50분 46초","03:49:46"
'2026-03-03',서울성동,국어,395758,안성빈,"010","2172","6625",자습,"1시간 3분 38초","01:02:38"
'2026-03-03',서울성동,수학,395758,안성빈,"010","2172","6625",자습,"1시간 15분 15초","01:15:15"
'2026-03-03',서울성동,영어,395758,안성빈,"010","2172","6625",자습,"1시간 55분 23초","00:55:23"
'2026-03-03',서울성동,국어,395225,안예준,"010","5619","3606",자습,"3시간 24분 33초","03:23:33"
'2026-03-03',서울성동,사회탐구,395225,안예준,"010","5619","3606",인강,"2시간 59분 18초","01:59:18"
'2026-03-03',서울성동,수학,395225,안예준,"010","5619","3606",인강,"4시간 55분 28초","03:55:28"
'2026-03-03',서울성동,수학,395225,안예준,"010","5619","3606",자습,"1시간 52분 48초","00:51:48"
'2026-03-03',서울성동,국어,391948,이민제,"010","2660","2774",자습,"3시간 3분 13초","03:03:13"
'2026-03-03',서울성동,수학,391948,이민제,"010","2660","2774",자습,"5시간 31분 31초","04:30:31"
'2026-03-03',서울성동,영어,391948,이민제,"010","2660","2774",자습,"1시간 42분 31초","00:41:31"
'2026-03-03',서울성동,한국사,391948,이민제,"010","2660","2774",인강,"2시간 20분 53초","02:19:53"
'2026-03-03',서울성동,국어,391730,이시현,"010","4087","2062",단과,"1시간 26분 48초","01:25:48"
'2026-03-03',서울성동,국어,391730,이시현,"010","4087","2062",자습,"1시간 55분 20초","00:55:20"
'2026-03-03',서울성동,사회탐구,391730,이시현,"010","4087","2062",인강,"3시간 41분 17초","02:41:17"
'2026-03-03',서울성동,수학,391730,이시현,"010","4087","2062",인강,"2시간 36분 4초","01:36:04"
'2026-03-03',서울성동,영어,391730,이시현,"010","4087","2062",자습,"3시간 25분 18초","03:25:18"
'2026-03-03',서울성동,사회탐구,395857,이주혜,"010","2505","5159",자습,"5시간 57분 42초","04:56:42"
'2026-03-03',서울성동,수학,395857,이주혜,"010","2505","5159",자습,"4시간 11분 57초","04:10:57"
'2026-03-03',서울성동,영어,395857,이주혜,"010","2505","5159",자습,"2시간 58분 6초","01:58:06"
'2026-03-03',서울성동,과학탐구,395446,조하은,"010","4012","3811",자습,"1시간 16분 12초","01:16:12"
'2026-03-03',서울성동,국어,395446,조하은,"010","4012","3811",자습,"3시간 6분 59초","03:05:59"
'2026-03-03',서울성동,수학,395446,조하은,"010","4012","3811",자습,"5시간 58분 8초","04:58:08"
'2026-03-03',서울성동,국어,394549,조현경,"010","8973","3015",자습,"0시간 0분 13초","00:00:13"
'2026-03-03',서울성동,과학탐구,391667,주현성,"010","3044","7023",자습,"3시간 14분 57초","03:13:57"
'2026-03-03',서울성동,국어,391667,주현성,"010","3044","7023",자습,"3시간 51분 1초","02:51:01"
'2026-03-03',서울성동,수학,391667,주현성,"010","3044","7023",자습,"5시간 21분 36초","05:20:36"
'2026-03-03',서울성동,국어,395756,채원태,"010","3810","8522",자습,"1시간 50분 5초","00:50:05"
'2026-03-03',서울성동,수학,395756,채원태,"010","3810","8522",자습,"4시간 53분 17초","03:53:17"
'2026-03-03',서울성동,국어,395099,하재윤,"010","3372","5432",인강,"3시간 38분 44초","02:37:44"
'2026-03-03',서울성동,국어,395099,하재윤,"010","3372","5432",자습,"0시간 0분 4초","00:00:04"
'2026-03-03',서울성동,사회탐구,395099,하재윤,"010","3372","5432",인강,"2시간 23분 29초","02:23:29"
'2026-03-03',서울성동,사회탐구,395099,하재윤,"010","3372","5432",자습,"0시간 25분 13초","00:25:13"
'2026-03-03',서울성동,수학,395099,하재윤,"010","3372","5432",인강,"3시간 46분 30초","02:45:30"
'2026-03-03',서울성동,영어,395099,하재윤,"010","3372","5432",인강,"1시간 26분 10초","01:26:10"
'2026-03-03',서울성북,영어,388628,이정표,"010","7299","7091",자습,"0시간 0분 23초","00:00:23"
'2026-03-03',수원영통,과학탐구,393965,박성현,"010","9348","7249",자습,"3시간 48분 18초","02:48:18"
'2026-03-03',수원영통,수학,393965,박성현,"010","9348","7249",자습,"3시간 22분 35초","03:21:35"
'2026-03-03',수원영통,사회탐구,392958,신지유,"010","5663","0589",자습,"3시간 23분 49초","03:22:49"
'2026-03-03',수원영통,수학,392958,신지유,"010","5663","0589",자습,"3시간 46분 52초","02:45:52"
'2026-03-03',수원영통,영어,392958,신지유,"010","5663","0589",단과,"2시간 30분 0초","01:30:00"
'2026-03-03',수원영통,사회탐구,395362,유하리,"010","6481","3058",인강,"1시간 50분 29초","00:50:29"
'2026-03-03',수원영통,사회탐구,395362,유하리,"010","6481","3058",자습,"2시간 9분 5초","02:09:05"
'2026-03-03',수원영통,수학,395362,유하리,"010","6481","3058",인강,"1시간 47분 29초","00:47:29"
'2026-03-03',수원영통,수학,395362,유하리,"010","6481","3058",자습,"3시간 25분 16초","03:25:16"
'2026-03-03',수원영통,수학,396081,윤동현,"010","9973","7021",자습,"0시간 1분 2초","00:01:02"
'2026-03-03',수원정자,과학탐구,383054,양수빈,"010","8003","6269",인강,"1시간 20분 48초","01:19:48"
'2026-03-03',수원정자,과학탐구,383054,양수빈,"010","8003","6269",자습,"2시간 28분 25초","02:28:25"
'2026-03-03',수원정자,국어,383054,양수빈,"010","8003","6269",자습,"1시간 42분 19초","00:42:19"
'2026-03-03',수원정자,수학,383054,양수빈,"010","8003","6269",인강,"4시간 42분 19초","03:42:19"
'2026-03-03',수원정자,수학,383054,양수빈,"010","8003","6269",자습,"0시간 30분 38초","00:29:38"
'2026-03-03',수원정자,영어,383054,양수빈,"010","8003","6269",자습,"1시간 56분 23초","00:56:23"
'2026-03-03',울산남구,국어,396182,주현지,"010","4543","6762",자습,"0시간 0분 9초","00:00:09"
'2026-03-03',원주,국어,390482,조현빈,"010","9870","7206",자습,"0시간 0분 6초","00:00:06"
'2026-03-03',원주,수학,390482,조현빈,"010","9870","7206",자습,"0시간 4분 20초","00:04:20"
'2026-03-03',은평서대문,국어,391238,김민소,"010","3347","3451",자습,"3시간 44분 45초","02:43:45"
'2026-03-03',은평서대문,사회탐구,391238,김민소,"010","3347","3451",인강,"2시간 52분 48초","01:51:48"
'2026-03-03',은평서대문,수학,391238,김민소,"010","3347","3451",인강,"4시간 2분 25초","04:02:25"
'2026-03-03',은평서대문,수학,391238,김민소,"010","3347","3451",자습,"0시간 15분 47초","00:14:47"
'2026-03-03',은평서대문,영어,391238,김민소,"010","3347","3451",인강,"1시간 3분 30초","01:02:30"
'2026-03-03',은평서대문,영어,391238,김민소,"010","3347","3451",자습,"1시간 33분 58초","00:32:58"
'2026-03-03',은평서대문,사회탐구,395020,박민영,"010","3184","4968",자습,"2시간 28분 54초","02:27:54"
'2026-03-03',은평서대문,수학,395020,박민영,"010","3184","4968",자습,"5시간 55분 54초","04:54:54"
'2026-03-03',은평서대문,영어,395020,박민영,"010","3184","4968",자습,"1시간 17분 8초","01:17:08"
'2026-03-03',은평서대문,수학,382174,박유까,"010","3976","7815",자습,"8시간 34분 5초","07:34:05"
'2026-03-03',은평서대문,국어,391680,이지수,"010","9512","7613",인강,"2시간 35분 56초","01:34:56"
'2026-03-03',은평서대문,국어,391680,이지수,"010","9512","7613",자습,"1시간 14분 47초","01:13:47"
'2026-03-03',은평서대문,수학,391680,이지수,"010","9512","7613",자습,"1시간 3분 46초","01:02:46"
'2026-03-03',은평서대문,영어,391680,이지수,"010","9512","7613",인강,"5시간 44분 4초","04:44:04"
'2026-03-03',은평서대문,영어,391680,이지수,"010","9512","7613",자습,"1시간 32분 29초","00:32:29"
'2026-03-03',의정부,국어,394149,도예나,"010","5918","0923",자습,"0시간 0분 17초","00:00:17"
'2026-03-03',의정부,국어,390961,이건희,"010","5365","7145",자습,"3시간 11분 8초","03:11:08"
'2026-03-03',의정부,수학,390961,이건희,"010","5365","7145",자습,"7시간 29분 9초","07:29:09"
'2026-03-03',의정부,영어,390961,이건희,"010","5365","7145",자습,"1시간 36분 8초","00:36:08"
'2026-03-03',의정부,사회탐구,394843,이원재,"010","7604","1793",인강,"2시간 6분 13초","02:06:13"
'2026-03-03',의정부,수학,391602,정건,"010","6450","1381",인강,"0시간 1분 3초","00:01:03"
'2026-03-03',이천기숙학원,국어,394642,권민준,"010","8682","8649",자습,"0시간 0분 5초","00:00:05"
'2026-03-03',이천기숙학원,수학,392603,이하늘비,"010","7341","6058",자습,"3시간 29분 12초","03:29:12"
'2026-03-03',이천기숙학원,국어,389225,지수민,"010","4917","5677",자습,"0시간 0분 3초","00:00:03"
'2026-03-03',이천기숙학원,수학,389225,지수민,"010","4917","5677",자습,"0시간 18분 33초","00:17:33"
'2026-03-03',인천부평,국어,391442,유정욱,"010","4006","7434",자습,"2시간 15분 1초","02:15:01"
'2026-03-03',인천부평,국어,396206,정재윤,"010","3834","2724",자습,"0시간 0분 5초","00:00:05"
'2026-03-03',인천부평,수학,396206,정재윤,"010","3834","2724",자습,"5시간 2분 43초","05:01:43"
'2026-03-03',인천송도,국어,393858,강민준,"010","4306","7891",자습,"0시간 10분 55초","00:09:55"
'2026-03-03',인천송도,수학,393858,강민준,"010","4306","7891",단과,"0시간 0분 9초","00:00:09"
'2026-03-03',인천송도,수학,393858,강민준,"010","4306","7891",인강,"2시간 47분 48초","01:46:48"
'2026-03-03',인천송도,수학,393858,강민준,"010","4306","7891",자습,"3시간 37분 21초","02:37:21"
'2026-03-03',인천송도,과학탐구,391315,김건유,"010","4122","8174",자습,"0시간 0분 1초","00:00:01"
'2026-03-03',인천송도,사회탐구,391315,김건유,"010","4122","8174",인강,"2시간 47분 43초","01:46:43"
'2026-03-03',인천송도,수학,391315,김건유,"010","4122","8174",인강,"3시간 35분 12초","02:35:12"
'2026-03-03',인천송도,수학,391315,김건유,"010","4122","8174",자습,"1시간 22분 50초","01:21:50"
'2026-03-03',인천송도,영어,391315,김건유,"010","4122","8174",인강,"2시간 9분 26초","02:09:26"
'2026-03-03',인천송도,국어,393714,김도연B,"010","5020","5728",인강,"4시간 31분 23초","03:31:23"
'2026-03-03',인천송도,수학,393714,김도연B,"010","5020","5728",자습,"1시간 18분 55초","01:17:55"
'2026-03-03',인천송도,영어,393714,김도연B,"010","5020","5728",인강,"2시간 31분 34초","01:30:34"
'2026-03-03',인천송도,영어,393714,김도연B,"010","5020","5728",자습,"2시간 16분 18초","02:16:18"
'2026-03-03',인천송도,국어,396306,김도율,"010","8876","8279",자습,"3시간 10분 32초","03:09:32"
'2026-03-03',인천송도,사회탐구,396306,김도율,"010","8876","8279",자습,"1시간 6분 47초","01:05:47"
'2026-03-03',인천송도,수학,391314,김민건,"010","2743","8338",자습,"4시간 53분 47초","03:52:47"
'2026-03-03',인천송도,영어,391314,김민건,"010","2743","8338",자습,"0시간 0분 2초","00:00:02"
'2026-03-03',인천송도,국어,396063,김승원,"010","2230","4473",자습,"2시간 0분 11초","02:00:11"
'2026-03-03',인천송도,수학,396063,김승원,"010","2230","4473",단과,"0시간 0분 2초","00:00:02"
'2026-03-03',인천송도,수학,396063,김승원,"010","2230","4473",자습,"1시간 7분 28초","01:07:28"
'2026-03-03',인천송도,영어,396063,김승원,"010","2230","4473",자습,"1시간 10분 7초","01:10:07"
'2026-03-03',인천송도,국어,394782,김승환,"010","9431","8225",자습,"4시간 11분 23초","04:11:23"
'2026-03-03',인천송도,수학,394782,김승환,"010","9431","8225",자습,"2시간 57분 13초","01:57:13"
'2026-03-03',인천송도,영어,394782,김승환,"010","9431","8225",자습,"2시간 26분 2초","02:26:02"
'2026-03-03',인천송도,수학,381478,김영주,"010","7490","7375",단과,"3시간 30분 0초","02:30:00"
'2026-03-03',인천송도,수학,381478,김영주,"010","7490","7375",자습,"3시간 35분 35초","02:34:35"
'2026-03-03',인천송도,영어,381478,김영주,"010","7490","7375",단과,"0시간 0분 3초","00:00:03"
'2026-03-03',인천송도,국어,393752,김은비,"010","2486","0149",단과,"0시간 0분 5초","00:00:05"
'2026-03-03',인천송도,국어,393752,김은비,"010","2486","0149",자습,"2시간 4분 42초","02:03:42"
'2026-03-03',인천송도,수학,393752,김은비,"010","2486","0149",인강,"1시간 56분 44초","00:55:44"
'2026-03-03',인천송도,수학,393752,김은비,"010","2486","0149",자습,"2시간 20분 42초","02:19:42"
'2026-03-03',인천송도,영어,393752,김은비,"010","2486","0149",인강,"1시간 51분 54초","00:50:54"
'2026-03-03',인천송도,국어,391316,김하람,"010","4087","5350",자습,"1시간 5분 54초","01:04:54"
'2026-03-03',인천송도,수학,391316,김하람,"010","4087","5350",자습,"4시간 47분 54초","03:46:54"
'2026-03-03',인천송도,영어,391316,김하람,"010","4087","5350",자습,"3시간 48분 2초","02:48:02"
'2026-03-03',인천송도,국어,392198,김회성,"010","8939","3017",자습,"3시간 20분 8초","03:20:08"
'2026-03-03',인천송도,수학,392198,김회성,"010","8939","3017",자습,"4시간 36분 14초","03:36:14"
'2026-03-03',인천송도,영어,392198,김회성,"010","8939","3017",자습,"1시간 14분 4초","01:14:04"
'2026-03-03',인천송도,국어,378963,민사윤,"010","2428","0175",자습,"0시간 5분 4초","00:05:04"
'2026-03-03',인천송도,국어,396064,박서현,"010","2629","3878",자습,"1시간 27분 19초","01:27:19"
'2026-03-03',인천송도,수학,396064,박서현,"010","2629","3878",자습,"6시간 53분 16초","05:53:16"
'2026-03-03',인천송도,영어,396064,박서현,"010","2629","3878",자습,"1시간 1분 19초","01:01:19"
'2026-03-03',인천송도,사회탐구,395467,박지윤,"010","7472","1630",인강,"2시간 31분 25초","01:31:25"
'2026-03-03',인천송도,수학,395467,박지윤,"010","7472","1630",단과,"2시간 56분 57초","01:55:57"
'2026-03-03',인천송도,수학,395467,박지윤,"010","7472","1630",자습,"3시간 58분 12초","02:58:12"
'2026-03-03',인천송도,영어,395467,박지윤,"010","7472","1630",단과,"3시간 57분 5초","02:57:05"
'2026-03-03',인천송도,영어,395467,박지윤,"010","7472","1630",자습,"0시간 2분 38초","00:01:38"
'2026-03-03',인천송도,국어,396291,박지혜,"010","8734","6801",인강,"4시간 38분 55초","03:37:55"
'2026-03-03',인천송도,영어,396291,박지혜,"010","8734","6801",자습,"0시간 0분 3초","00:00:03"
'2026-03-03',인천송도,사회탐구,396289,박채연,"010","5717","4881",인강,"0시간 8분 53초","00:07:53"
'2026-03-03',인천송도,영어,396289,박채연,"010","5717","4881",자습,"1시간 18분 59초","01:17:59"
'2026-03-03',인천송도,수학,391558,박현영,"010","3916","2343",자습,"6시간 48분 58초","05:47:58"
'2026-03-03',인천송도,국어,396302,서준교,"010","3725","7348",인강,"3시간 1분 22초","03:01:22"
'2026-03-03',인천송도,국어,396302,서준교,"010","3725","7348",자습,"1시간 50분 50초","00:49:50"
'2026-03-03',인천송도,수학,396302,서준교,"010","3725","7348",자습,"2시간 59분 37초","01:58:37"
'2026-03-03',인천송도,영어,396302,서준교,"010","3725","7348",자습,"0시간 13분 43초","00:12:43"
'2026-03-03',인천송도,국어,393634,서준석,"010","7655","6160",인강,"1시간 34분 24초","00:34:24"
'2026-03-03',인천송도,국어,393634,서준석,"010","7655","6160",자습,"1시간 0분 15초","01:00:15"
'2026-03-03',인천송도,수학,393634,서준석,"010","7655","6160",인강,"4시간 49분 16초","03:49:16"
'2026-03-03',인천송도,수학,393634,서준석,"010","7655","6160",자습,"1시간 56분 24초","00:56:24"
'2026-03-03',인천송도,영어,393634,서준석,"010","7655","6160",단과,"3시간 56분 31초","02:55:31"
'2026-03-03',인천송도,국어,395464,신은빛,"010","8021","5769",자습,"2시간 59분 10초","01:59:10"
'2026-03-03',인천송도,수학,395464,신은빛,"010","8021","5769",자습,"5시간 14분 16초","05:14:16"
'2026-03-03',인천송도,영어,395464,신은빛,"010","8021","5769",인강,"1시간 0분 8초","01:00:08"
'2026-03-03',인천송도,영어,395464,신은빛,"010","8021","5769",자습,"0시간 28분 54초","00:27:54"
'2026-03-03',인천송도,국어,393418,안준혁,"010","6496","7656",자습,"0시간 20분 6초","00:20:06"
'2026-03-03',인천송도,수학,393418,안준혁,"010","6496","7656",자습,"11시간 1분 33초","11:00:33"
'2026-03-03',인천송도,수학,394842,안찬영,"010","3946","4496",단과,"0시간 0분 6초","00:00:06"
